func,noise,M,lam,cv,test
cos x,равномерный,5,1.0,0.40967154001029354,0.4083737809974451
cos x,равномерный,5,3.1622776601683795,0.4848698703306097,0.5226512559132956
cos x,равномерный,5,10.0,0.5740068763495003,0.6459334890335745
cos x,равномерный,5,31.622776601683793,0.6279566098939744,0.7208824165608748
cos x,равномерный,5,100.0,0.6518458549925971,0.752147618981011
cos x,равномерный,6,0.0,1.4900597949394878,0.1903256123171748
cos x,равномерный,6,1e-10,1.4900593009078567,0.19032561173343396
cos x,равномерный,6,3.1622776601683795e-10,1.4900582326751166,0.19032561047122504
cos x,равномерный,6,1e-09,1.4900548546374555,0.1903256064797848
cos x,равномерный,6,3.1622776601683795e-09,1.4900441724573776,0.19032559385777975
cos x,равномерный,6,1e-08,1.4900103935591975,0.1903255539438896
cos x,равномерный,6,3.162277660168379e-08,1.489903586529493,0.19032542772909408
cos x,равномерный,6,1e-07,1.4895659452405539,0.19032502864294634
cos x,равномерный,6,3.162277660168379e-07,1.4884993504405748,0.19032376702239467
cos x,равномерный,6,1e-06,1.485137649300259,0.1903197814319237
cos x,равномерный,6,3.162277660168379e-06,1.4746174656266726,0.1903072178454315
cos x,равномерный,6,1e-05,1.4424166965199294,0.19026788526333738
cos x,равномерный,6,3.1622776601683795e-05,1.3501932078774812,0.19014739340655315
cos x,равномерный,6,0.0001,1.1297878648595199,0.1898028253068119
cos x,равномерный,6,0.00031622776601683794,0.775593597912108,0.18901268944726038
cos x,равномерный,6,0.001,0.4708622818038398,0.1882140952548512
cos x,равномерный,6,0.0031622776601683794,0.3495004247508337,0.18952629653737435
cos x,равномерный,6,0.01,0.35298037587386266,0.19217409659796786
cos x,равномерный,6,0.03162277660168379,0.3972978616173812,0.19683668942485097
cos x,равномерный,6,0.1,0.4305201030726762,0.22772851336542868
cos x,равномерный,6,0.31622776601683794,0.43889878436736146,0.3107664797563958
cos x,равномерный,6,1.0,0.4274764155979002,0.41045993107200895
cos x,равномерный,6,3.1622776601683795,0.47651278744696385,0.5158120259257968
cos x,равномерный,6,10.0,0.5624095689978722,0.6297041011737918
cos x,равномерный,6,31.622776601683793,0.621371447176236,0.7103622667778611
cos x,равномерный,6,100.0,0.6492486168355521,0.7478460511942729
cos x,равномерный,7,0.0,0.5387133251937547,0.23603226292897148
cos x,равномерный,7,1e-10,0.5387143050996164,0.23603222118769848
cos x,равномерный,7,3.1622776601683795e-10,0.5387164241002418,0.23603213093164363
cos x,равномерный,7,1e-09,0.5387231265497986,0.23603184551937148
cos x,равномерный,7,3.1622776601683795e-09,0.5387443373278924,0.23603094298227126
cos x,равномерный,7,1e-08,0.5388115691530893,0.23602808907311876
cos x,равномерный,7,3.162277660168379e-08,0.5390257412122794,0.23601906585739676
cos x,равномерный,7,1e-07,0.5397184189374749,0.23599054830756283
cos x,равномерный,7,3.162277660168379e-07,0.5420549821996727,0.2359005312573215
cos x,равномерный,7,1e-06,0.5506739212288014,0.23561749734959317
cos x,равномерный,7,3.162277660168379e-06,0.5847106742226524,0.23473844750992903
cos x,равномерный,7,1e-05,0.6891020967536332,0.23211039466063915
