representation,condition,metric,k,weighted,accuracy
бинарное,равномерный p=0.3,l1,5,False,0.87
бинарное,равномерный p=0.3,l1,5,True,0.8766666666666667
бинарное,равномерный p=0.3,l1,7,False,0.87
бинарное,равномерный p=0.3,l1,7,True,0.8733333333333333
бинарное,равномерный p=0.3,l1,9,False,0.87
бинарное,равномерный p=0.3,l1,9,True,0.8733333333333333
бинарное,равномерный p=0.3,l2,1,False,0.87
бинарное,равномерный p=0.3,l2,1,True,0.87
бинарное,равномерный p=0.3,l2,3,False,0.8733333333333333
бинарное,равномерный p=0.3,l2,3,True,0.8766666666666667
бинарное,равномерный p=0.3,l2,5,False,0.87
бинарное,равномерный p=0.3,l2,5,True,0.8766666666666667
бинарное,равномерный p=0.3,l2,7,False,0.87
бинарное,равномерный p=0.3,l2,7,True,0.8733333333333333
бинарное,равномерный p=0.3,l2,9,False,0.87
бинарное,равномерный p=0.3,l2,9,True,0.8733333333333333
бинарное,равномерный p=0.3,linf,1,False,0.1
бинарное,равномерный p=0.3,linf,1,True,0.1
бинарное,равномерный p=0.3,linf,3,False,0.1
бинарное,равномерный p=0.3,linf,3,True,0.1
бинарное,равномерный p=0.3,linf,5,False,0.1
бинарное,равномерный p=0.3,linf,5,True,0.1
бинарное,равномерный p=0.3,linf,7,False,0.1
бинарное,равномерный p=0.3,linf,7,True,0.1
бинарное,равномерный p=0.3,linf,9,False,0.1
бинарное,равномерный p=0.3,linf,9,True,0.1
бинарное,равномерный p=0.3,cosine,1,False,0.85
бинарное,равномерный p=0.3,cosine,1,True,0.85
бинарное,равномерный p=0.3,cosine,3,False,0.8666666666666667
бинарное,равномерный p=0.3,cosine,3,True,0.88
бинарное,равномерный p=0.3,cosine,5,False,0.8766666666666667
бинарное,равномерный p=0.3,cosine,5,True,0.87
бинарное,равномерный p=0.3,cosine,7,False,0.8566666666666667
бинарное,равномерный p=0.3,cosine,7,True,0.8666666666666667
бинарное,равномерный p=0.3,cosine,9,False,0.8366666666666667
бинарное,равномерный p=0.3,cosine,9,True,0.85
бинарное,блок 8x8,l1,1,False,0.8366666666666667
бинарное,блок 8x8,l1,1,True,0.8366666666666667
бинарное,блок 8x8,l1,3,False,0.8533333333333334
бинарное,блок 8x8,l1,3,True,0.8666666666666667
бинарное,блок 8x8,l1,5,False,0.87
бинарное,блок 8x8,l1,5,True,0.8766666666666667
бинарное,блок 8x8,l1,7,False,0.8633333333333333
бинарное,блок 8x8,l1,7,True,0.8766666666666667
бинарное,блок 8x8,l1,9,False,0.8433333333333334
бинарное,блок 8x8,l1,9,True,0.8533333333333334
бинарное,блок 8x8,l2,1,False,0.8366666666666667
